Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
2-Nov,"130,615","109,034",577,"6,713","14,992","5,581.20","14,970.70","4,212.50",591.2,"3,328","8,003","15,964","16,587","12,109","5,405","21,581","2,781","5,023","13,777"
2-Dec,"130,472","108,884",577,"6,700","14,912","5,585.50","14,986.10","4,211.80",589.2,"3,288","8,017","15,900","16,606","12,112","5,399","21,588","2,780","5,026","13,782"
3-Jan,"130,580","108,954",576,"6,704","14,866","5,574.40","14,964.30","4,197.00",586.6,"3,266","8,025","15,967","16,656","12,173","5,399","21,626","2,789","5,034","13,803"
3-Feb,"130,444","108,820",575,"6,667","14,781","5,582.30","14,930.60","4,201.80",584.9,"3,235","8,037","15,994","16,696","12,130","5,405","21,624","2,789","5,032","13,803"
3-Mar,"130,232","108,622",570,"6,654","14,721","5,577.30","14,904.10","4,188.30",583.1,"3,221","8,052","15,924","16,720","12,109","5,398","21,610","2,791","5,022","13,797"
3-Apr,"130,177","108,582",566,"6,689","14,609","5,572.00","14,917.90","4,170.40",580.9,"3,207","8,077","15,927","16,784","12,085","5,397","21,595","2,769","5,017","13,809"
3-May,"130,196","108,629",569,"6,706","14,557","5,565.90","14,906.10","4,166.40",578,"3,193","8,093","15,977","16,825","12,092","5,401","21,567","2,753","5,009","13,805"
3-Jun,"130,194","108,588",572,"6,723","14,493","5,555.20","14,895.40","4,158.40",574.3,"3,182","8,089","15,992","16,836","12,121","5,397","21,606","2,763","4,997","13,846"
3-Jul,"130,191","108,558",571,"6,735","14,402","5,546.60","14,888.00","4,150.30",573.9,"3,175","8,101","16,030","16,842","12,143","5,400","21,633","2,760","4,981","13,892"
3-Aug,"130,149","108,593",570,"6,760","14,376","5,540.00","14,906.00","4,151.70",573.8,"3,164","8,101","16,024","16,851","12,177","5,398","21,556","2,751","4,975","13,830"
3-Sep,"130,254","108,750",570,"6,783","14,347","5,537.50","14,944.10","4,162.10",573.1,"3,163","8,097","16,079","16,883","12,208","5,403","21,504","2,749","4,980","13,775"
3-Oct,"130,454","108,896",573,"6,784","14,334","5,537.30","14,971.80","4,171.30",573,"3,157","8,089","16,102","16,942","12,259","5,403","21,558","2,742","4,987","13,829"
3-Nov,"130,474","108,939",576,"6,796","14,316","5,539.20","14,925.50","4,174.80",571.5,"3,150","8,084","16,139","16,978","12,284","5,405","21,535","2,728","4,988","13,819"
3-Dec,"130,588","109,042",576,"6,827","14,300","5,551.40","14,922.90","4,161.60",570.8,"3,150","8,077","16,167","17,016","12,320","5,402","21,546","2,740","4,981","13,825"
4-Jan,"130,769","109,231",577,"6,848","14,290","5,563.00","14,973.80","4,191.70",570.2,"3,144","8,078","16,196","17,048","12,346","5,405","21,538","2,732","4,965","13,841"
4-Feb,"130,825","109,275",576,"6,838","14,279","5,568.40","14,975.30","4,196.30",568.7,"3,142","8,078","16,209","17,066","12,372","5,406","21,550","2,731","4,967","13,852"
4-Mar,"131,142","109,554",584,"6,887","14,287","5,575.10","15,024.80","4,213.00",568.9,"3,134","8,086","16,236","17,115","12,425","5,418","21,588","2,731","4,973","13,884"
4-Apr,"131,411","109,797",586,"6,901","14,315","5,595.20","15,046.40","4,206.80",568.7,"3,131","8,097","16,346","17,150","12,435","5,419","21,614","2,753","4,973","13,888"
4-May,"131,694","110,080",591,"6,948","14,342","5,597.50","15,062.40","4,219.70",567.2,"3,134","8,115","16,419","17,185","12,481","5,418","21,614","2,730","4,971","13,913"
4-Jun,"131,793","110,192",591,"6,962","14,332","5,602.20","15,087.60","4,234.30",565.7,"3,135","8,116","16,451","17,200","12,495","5,420","21,601","2,730","4,978","13,893"
4-Jul,"131,848","110,242",593,"6,977","14,330","5,610.70","15,068.60","4,244.00",564,"3,123","8,099","16,491","17,234","12,495","5,413","21,606","2,729","4,982","13,895"
4-Aug,"131,937","110,311",596,"7,003","14,345","5,619.00","15,067.30","4,250.30",560.7,"3,107","8,107","16,489","17,270","12,485","5,412","21,626","2,729","4,985","13,912"
4-Sep,"132,093","110,458",597,"7,029","14,331","5,631.60","15,101.10","4,262.60",560.2,"3,095","8,119","16,513","17,261","12,550","5,407","21,635","2,729","4,985","13,921"
4-Oct,"132,447","110,791",595,"7,077","14,332","5,636.50","15,129.00","4,271.90",558.4,"3,100","8,115","16,632","17,364","12,582","5,398","21,656","2,724","4,993","13,939"
4-Nov,"132,503","110,811",599,"7,091","14,307","5,637.80","15,133.80","4,270.30",555.6,"3,088","8,118","16,613","17,391","12,606","5,400","21,692","2,727","4,998","13,967"
4-Dec,"132,624","110,931",601,"7,117","14,287","5,651.30","15,126.80","4,288.10",555.6,"3,079","8,134","16,629","17,436","12,630","5,396","21,693","2,728","4,995","13,970"
5-Jan,"132,774","111,039",606,"7,095","14,257","5,645.50","15,151.90","4,297.20",557.5,"3,069","8,144","16,683","17,470","12,665","5,398","21,735","2,727","5,019","13,989"
5-Feb,"133,032","111,288",610,"7,153","14,273","5,658.90","15,192.40","4,310.50",557.2,"3,058","8,146","16,766","17,480","12,690","5,393","21,744","2,728","5,015","14,001"
5-Mar,"133,156","111,416",616,"7,181","14,269","5,668.60","15,199.70","4,320.30",555,"3,062","8,139","16,795","17,506","12,718","5,386","21,740","2,733","5,013","13,994"
5-Apr,"133,518","111,764",620,"7,266","14,250","5,679.60","15,247.90","4,335.50",554.7,"3,068","8,149","16,855","17,544","12,802","5,392","21,754","2,725","5,019","14,010"
5-May,"133,690","111,909",622,"7,294","14,256","5,691.60","15,267.90","4,345.20",553.9,"3,062","8,154","16,877","17,605","12,797","5,383","21,781","2,734","5,022","14,025"
5-Jun,"133,942","112,179",625,"7,333","14,227","5,702.30","15,300.90","4,345.90",553.4,"3,057","8,172","16,965","17,662","12,837","5,398","21,763","2,733","5,029","14,001"
5-Jul,"134,296","112,439",626,"7,353","14,226","5,712.50","15,338.70","4,358.40",553.8,"3,061","8,191","17,032","17,716","12,867","5,404","21,857","2,728","5,040","14,089"
5-Aug,"134,498","112,635",631,"7,394","14,203","5,722.80","15,356.90","4,363.40",554.3,"3,063","8,215","17,091","17,750","12,891","5,400","21,863","2,731","5,038","14,094"
5-Sep,"134,566","112,721",636,"7,415","14,175","5,728.30","15,339.80","4,366.50",553.2,"3,070","8,224","17,163","17,789","12,862","5,399","21,845","2,732","5,040","14,073"
5-Oct,"134,655","112,826",640,"7,460","14,192","5,737.30","15,333.20","4,373.30",553.2,"3,056","8,260","17,183","17,812","12,840","5,386","21,829","2,735","5,037","14,057"
5-Nov,"134,993","113,134",646,"7,524","14,187","5,748.70","15,348.70","4,386.50",552.3,"3,056","8,282","17,262","17,864","12,884","5,393","21,859","2,739","5,045","14,075"
5-Dec,"135,149","113,270",650,"7,533","14,193","5,760.70","15,352.00","4,391.30",550.6,"3,053","8,286","17,296","17,894","12,905","5,405","21,879","2,733","5,061","14,085"
6-Jan,"135,429","113,582",656,"7,601","14,210","5,780.60","15,353.60","4,407.90",549.8,"3,052","8,307","17,348","17,946","12,945","5,425","21,847","2,727","5,033","14,087"
6-Feb,"135,737","113,859",662,"7,664","14,209","5,796.50","15,363.00","4,418.10",550.1,"3,052","8,332","17,408","17,998","12,980","5,426","21,878","2,733","5,049","14,096"
6-Mar,"136,047","114,144",669,"7,689","14,214","5,811.60","15,392.00","4,417.80",547.5,"3,055","8,349","17,495","18,045","13,034","5,425","21,903","2,733","5,059","14,111"
6-Apr,"136,205","114,286",679,"7,726","14,226","5,823.50","15,347.70","4,433.30",548.9,"3,046","8,371","17,515","18,070","13,074","5,426","21,919","2,733","5,064","14,122"
6-May,"136,244","114,318",681,"7,713","14,203","5,835.20","15,320.10","4,445.80",548.3,"3,039","8,376","17,572","18,100","13,052","5,433","21,926","2,734","5,072","14,120"
6-Jun,"136,325","114,403",686,"7,699","14,213","5,839.10","15,330.20","4,451.30",547.6,"3,036","8,364","17,642","18,102","13,061","5,432","21,922","2,736","5,069","14,117"
6-Jul,"136,520","114,547",690,"7,712","14,188","5,847.90","15,329.60","4,465.70",547.9,"3,031","8,366","17,682","18,128","13,130","5,429","21,973","2,740","5,075","14,158"
6-Aug,"136,694","114,683",693,"7,720","14,159","5,856.20","15,338.90","4,465.30",548,"3,035","8,374","17,728","18,182","13,152","5,432","22,011","2,733","5,084","14,194"
6-Sep,"136,843","114,761",694,"7,718","14,125","5,864.90","15,354.30","4,474.50",548.5,"3,028","8,390","17,718","18,248","13,150","5,448","22,082","2,732","5,099","14,251"
6-Oct,"136,852","114,784",699,"7,682","14,075","5,863.40","15,373.70","4,484.00",546.9,"3,024","8,385","17,722","18,288","13,187","5,454","22,068","2,731","5,097","14,240"
6-Nov,"137,063","114,980",701,"7,666","14,041","5,874.40","15,402.60","4,496.10",548,"3,025","8,393","17,790","18,337","13,251","5,455","22,083","2,729","5,100","14,254"
6-Dec,"137,249","115,161",705,"7,685","14,015","5,899.50","15,407.30","4,516.50",548.5,"3,032","8,393","17,823","18,378","13,292","5,466","22,088","2,730","5,098","14,260"
7-Jan,"137,477","115,382",706,"7,725","14,008","5,903.60","15,447.60","4,518.00",548.6,"3,029","8,389","17,887","18,415","13,338","5,467","22,095","2,731","5,087","14,277"
7-Feb,"137,558","115,427",711,"7,626","13,997","5,918.70","15,479.30","4,519.10",548.5,"3,033","8,390","17,918","18,451","13,361","5,474","22,131","2,732","5,114","14,285"
7-Mar,"137,793","115,644",715,"7,706","13,970","5,921.90","15,547.70","4,522.50",549.1,"3,029","8,380","17,949","18,507","13,363","5,484","22,149","2,731","5,118","14,300"
7-Apr,"137,842","115,667",719,"7,686","13,945","5,937.60","15,513.20","4,525.00",551.4,"3,034","8,361","17,966","18,563","13,375","5,491","22,175","2,732","5,121","14,322"
7-May,"137,993","115,800",721,"7,673","13,929","5,945.20","15,534.50","4,526.40",553.7,"3,040","8,370","17,999","18,608","13,404","5,496","22,193","2,733","5,121","14,339"
7-Jun,"138,069","115,862",725,"7,687","13,911","5,955.10","15,513.90","4,524.90",554.9,"3,038","8,368","18,011","18,661","13,413","5,499","22,207","2,729","5,131","14,347"
7-Jul,"138,038","115,867",728,"7,660","13,889","5,962.00","15,515.00","4,527.90",555,"3,037","8,370","18,015","18,691","13,417","5,500","22,171","2,727","5,119","14,325"
7-Aug,"138,015","115,789",727,"7,610","13,828","5,961.40","15,517.10","4,524.00",555.8,"3,029","8,342","18,025","18,755","13,419","5,496","22,226","2,738","5,110","14,378"
7-Sep,"138,095","115,816",726,"7,577","13,790","5,962.60","15,523.30","4,546.00",555.4,"3,030","8,319","18,022","18,812","13,461","5,492","22,279","2,737","5,137","14,405"
7-Oct,"138,174","115,877",727,"7,565","13,764","5,969.40","15,518.40","4,541.40",555.8,"3,028","8,308","18,058","18,849","13,499","5,494","22,297","2,734","5,132","14,431"
7-Nov,"138,284","115,950",735,"7,523","13,757","5,969.50","15,578.90","4,538.60",555.5,"3,025","8,293","18,059","18,875","13,535","5,505","22,334","2,744","5,137","14,453"
7-Dec,"138,392","116,016",740,"7,490","13,746","5,969.70","15,577.40","4,536.00",557.1,"3,024","8,282","18,104","18,924","13,550","5,516","22,376","2,756","5,139","14,481"
8-Jan,"138,403","116,015",746,"7,476","13,725","5,967.10","15,568.50","4,537.80",557,"3,025","8,277","18,094","18,978","13,542","5,522","22,388","2,738","5,148","14,502"
8-Feb,"138,324","115,907",748,"7,453","13,696","5,957.20","15,527.50","4,541.60",556.3,"3,019","8,268","18,046","19,018","13,543","5,533","22,417","2,747","5,145","14,525"
8-Mar,"138,275","115,832",755,"7,406","13,659","5,947.50","15,534.50","4,542.40",556.4,"3,021","8,267","18,005","19,068","13,531","5,539","22,443","2,752","5,153","14,538"
8-Apr,"138,035","115,585",755,"7,327","13,599","5,925.50","15,433.60","4,546.80",556.9,"3,012","8,256","17,996","19,126","13,511","5,540","22,450","2,755","5,157","14,538"
8-May,"137,858","115,375",761,"7,274","13,564","5,912.50","15,379.20","4,535.20",556.8,"3,008","8,248","17,936","19,166","13,498","5,536","22,483","2,757","5,162","14,564"
8-Jun,"137,687","115,170",766,"7,213","13,504","5,899.80","15,342.80","4,522.60",557.8,"3,001","8,236","17,896","19,224","13,482","5,525","22,517","2,759","5,179","14,579"
8-Jul,"137,491","114,923",770,"7,160","13,430","5,878.40","15,307.40","4,517.40",559.6,"2,987","8,219","17,835","19,275","13,463","5,521","22,568","2,767","5,191","14,610"
8-Aug,"137,213","114,646",778,"7,114","13,358","5,857.40","15,249.00","4,500.40",558.9,"2,973","8,205","17,771","19,337","13,431","5,513","22,567","2,766","5,214","14,587"
8-Sep,"136,753","114,216",782,"7,044","13,275","5,845.40","15,178.60","4,464.80",559.4,"2,961","8,172","17,700","19,343","13,379","5,512","22,537","2,768","5,184","14,585"
8-Oct,"136,272","113,723",781,"6,967","13,147","5,806.40","15,100.80","4,450.00",560.9,"2,950","8,139","17,590","19,363","13,352","5,516","22,549","2,772","5,182","14,595"
8-Nov,"135,545","112,985",776,"6,813","13,034","5,769.80","14,989.40","4,409.10",562.5,"2,932","8,102","17,420","19,401","13,300","5,476","22,560","2,778","5,194","14,588"
8-Dec,"134,839","112,283",771,"6,701","12,850","5,729.40","14,876.90","4,382.20",562.9,"2,909","8,070","17,287","19,442","13,256","5,446","22,556","2,775","5,191","14,590"
9-Jan,"134,055","111,476",761,"6,567","12,561","5,698.80","14,794.50","4,358.50",563,"2,891","8,017","17,132","19,482","13,222","5,428","22,579","2,786","5,206","14,587"
9-Feb,"133,312","110,736",749,"6,446","12,380","5,650.70","14,719.40","4,334.50",563.6,"2,878","7,968","16,936","19,507","13,193","5,411","22,576","2,795","5,190","14,591"
9-Mar,"132,512","109,952",728,"6,291","12,208","5,608.30","14,650.70","4,301.00",563,"2,864","7,927","16,787","19,514","13,127","5,383","22,560","2,797","5,180","14,583"
9-Apr,"131,817","109,140",710,"6,154","12,030","5,561.90","14,563.10","4,255.30",561.3,"2,833","7,870","16,652","19,521","13,056","5,372","22,677","2,922","5,182","14,573"
9-May,"131,475","108,858",693,"6,100","11,862","5,537.20","14,558.30","4,237.40",559.8,"2,807","7,844","16,602","19,582","13,106","5,369","22,617","2,860","5,187","14,570"
9-Jun,"131,008","108,432",686,"6,010","11,726","5,513.70","14,541.00","4,219.80",560.1,"2,796","7,820","16,497","19,614","13,076","5,372","22,576","2,814","5,176","14,586"
9-Jul,"130,668","108,147",678,"5,932","11,668","5,488.40","14,488.90","4,198.20",558.8,"2,780","7,806","16,474","19,629","13,078","5,368","22,521","2,826","5,122","14,573"
9-Aug,"130,485","107,948",670,"5,855","11,626","5,471.10","14,480.50","4,187.80",557.9,"2,767","7,782","16,465","19,681","13,046","5,359","22,537","2,825","5,170","14,542"
9-Sep,"130,244","107,793",665,"5,787","11,591","5,454.30","14,450.20","4,179.50",558.8,"2,768","7,771","16,469","19,692","13,054","5,353","22,451","2,826","5,144","14,481"
9-Oct,"130,045","107,521",661,"5,716","11,538","5,433.40","14,381.60","4,163.80",558.6,"2,763","7,754","16,488","19,736","12,995","5,333","22,524","2,843","5,158","14,523"
9-Nov,"130,057","107,524",664,"5,696","11,509","5,423.30","14,379.40","4,158.30",557.5,"2,752","7,756","16,548","19,770","12,986","5,324","22,533","2,842","5,152","14,539"
9-Dec,"129,788","107,306",663,"5,654","11,475","5,409.50","14,334.80","4,108.40",556,"2,743","7,743","16,551","19,804","12,944","5,320","22,482","2,831","5,150","14,501"
10-Jan,"129,790","107,299",667,"5,580","11,460","5,390.20","14,401.00","4,129.00",556,"2,737","7,732","16,572","19,820","12,932","5,323","22,491","2,860","5,145","14,486"
10-Feb,"129,698","107,222",674,"5,500","11,453","5,379.30","14,397.10","4,129.40",554.8,"2,737","7,724","16,591","19,839","12,927","5,316","22,476","2,872","5,147","14,457"
10-Mar,"129,879","107,361",682,"5,537","11,453","5,378.80","14,446.70","4,140.80",554.5,"2,718","7,708","16,574","19,896","12,943","5,329","22,518","2,923","5,140","14,455"
10-Apr,"130,110","107,541",687,"5,553","11,489","5,378.50","14,427.20","4,147.10",554.2,"2,715","7,708","16,666","19,902","12,979","5,335","22,569","2,984","5,136","14,449"
10-May,"130,650","107,654",697,"5,520","11,525","5,375.00","14,438.60","4,158.30",553.6,"2,709","7,699","16,702","19,934","13,012","5,330","22,996","3,416","5,135","14,445"
10-Jun,"130,511","107,771",702,"5,516","11,545","5,379.30","14,442.10","4,175.20",552,"2,703","7,688","16,764","19,955","13,034","5,315","22,740","3,193","5,139","14,408"
10-Jul,"130,427","107,858",708,"5,508","11,561","5,380.90","14,449.20","4,192.60",551.4,"2,703","7,677","16,773","19,980","13,048","5,326","22,569","3,051","5,136","14,382"
10-Aug,"130,422","108,002",716,"5,524","11,553","5,382.60","14,454.30","4,188.90",551.5,"2,702","7,676","16,833","20,017","13,081","5,323","22,420","2,945","5,130","14,345"
10-Sep,"130,357","108,110",723,"5,501","11,563","5,388.50","14,478.30","4,206.30",549.4,"2,697","7,683","16,850","20,001","13,137","5,332","22,247","2,869","5,122","14,256"
10-Oct,"130,625","108,328",731,"5,508","11,562","5,396.10","14,510.70","4,216.40",551.6,"2,695","7,682","16,917","20,074","13,127","5,357","22,297","2,866","5,139","14,292"
10-Nov,"130,750","108,463",736,"5,506","11,585","5,401.60","14,486.00","4,225.30",551.1,"2,689","7,681","17,011","20,119","13,126","5,346","22,287","2,866","5,139","14,282"
10-Dec,"130,822","108,556",734,"5,467","11,595","5,408.30","14,474.10","4,250.10",553.3,"2,682","7,684","17,080","20,134","13,157","5,337","22,266","2,870","5,133","14,263"
11-Jan,"130,841","108,583",736,"5,427","11,621","5,414.80","14,537.10","4,217.30",551.5,"2,678","7,680","17,091","20,153","13,149","5,327","22,258","2,874","5,138","14,246"
11-Feb,"131,053","108,838",739,"5,451","11,654","5,427.50","14,558.20","4,248.20",553.3,"2,673","7,676","17,170","20,163","13,188","5,337","22,215","2,876","5,106","14,233"
11-Mar,"131,288","109,096",754,"5,477","11,675","5,443.90","14,589.20","4,258.70",552.7,"2,672","7,681","17,235","20,177","13,247","5,333","22,192","2,877","5,096","14,219"
11-Apr,"131,602","109,418",768,"5,485","11,704","5,456.70","14,646.20","4,277.40",553.7,"2,674","7,679","17,297","20,237","13,298","5,342","22,184","2,870","5,091","14,223"
11-May,"131,703","109,574",778,"5,516","11,713","5,462.60","14,645.80","4,285.60",553.1,"2,679","7,702","17,348","20,252","13,293","5,346","22,129","2,871","5,083","14,175"
11-Jun,"131,939","109,775",790,"5,528","11,727","5,470.50","14,681.70","4,301.50",553,"2,685","7,692","17,363","20,288","13,343","5,352","22,164","2,860","5,079","14,225"
11-Jul,"131,999","109,950",801,"5,547","11,746","5,478.60","14,725.40","4,303.80",551.6,"2,676","7,694","17,371","20,327","13,370","5,359","22,049","2,862","5,058","14,129"
11-Aug,"132,125","110,108",804,"5,552","11,764","5,488.10","14,719.40","4,310.60",552.1,"2,634","7,700","17,446","20,367","13,395","5,376","22,017","2,850","5,079","14,088"
11-Sep,"132,358","110,375",814,"5,584","11,769","5,492.60","14,743.80","4,315.90",552.6,"2,677","7,694","17,510","20,415","13,426","5,381","21,983","2,846","5,072","14,065"
11-Oct,"132,562","110,564",820,"5,588","11,780","5,507.50","14,749.50","4,324.10",552.1,"2,677","7,707","17,556","20,457","13,464","5,382","21,998","2,850","5,056","14,092"
11-Nov,"132,694","110,723",824,"5,593","11,770","5,515.00","14,754.80","4,328.20",552.6,"2,676","7,721","17,591","20,496","13,511","5,390","21,971","2,842","5,050","14,079"
11-Dec,"132,896","110,942",831,"5,611","11,802","5,534.70","14,747.00","4,328.30",552.2,"2,678","7,729","17,658","20,530","13,538","5,403","21,954","2,836","5,047","14,071"
12-Jan,"133,250","111,304",840,"5,626","11,838","5,550.30","14,817.10","4,346.30",553.3,"2,665","7,735","17,745","20,574","13,600","5,414","21,946","2,833","5,045","14,068"
12-Feb,"133,512","111,565",845,"5,629","11,860","5,562.40","14,795.30","4,372.20",553.2,"2,676","7,743","17,816","20,657","13,641","5,415","21,947","2,828","5,048","14,071"
12-Mar,"133,752","111,809",849,"5,625","11,898","5,568.80","14,826.10","4,377.00",553.6,"2,678","7,768","17,848","20,689","13,706","5,422","21,943","2,828","5,051","14,064"
12-Apr,"133,834","111,903",850,"5,618","11,916","5,582.70","14,837.70","4,364.90",553.4,"2,679","7,771","17,897","20,707","13,709","5,417","21,931","2,826","5,055","14,050"
12-May,"133,934","112,023",855,"5,604","11,927","5,593.20","14,834.40","4,397.50",553.2,"2,685","7,783","17,922","20,747","13,705","5,417","21,911","2,823","5,052","14,036"
12-Jun,"134,007","112,077",854,"5,621","11,936","5,598.90","14,817.50","4,397.70",554,"2,674","7,783","17,977","20,738","13,702","5,424","21,930","2,824","5,059","14,047"
12-Jul,"134,159","112,246",851,"5,632","11,964","5,609.80","14,812.40","4,409.90",546.6,"2,680","7,779","18,020","20,773","13,735","5,433","21,913","2,815","5,055","14,043"
12-Aug,"134,331","112,415",851,"5,648","11,960","5,609.70","14,817.40","4,422.20",554.2,"2,676","7,788","18,052","20,801","13,804","5,431","21,916","2,820","5,063","14,033"
12-Sep,"134,518","112,593",846,"5,661","11,954","5,606.70","14,853.70","4,426.10",554.4,"2,670","7,800","18,066","20,841","13,872","5,442","21,925","2,822","5,076","14,027"
