Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
12-Oct,"134,677","112,774",837,"5,674","11,961","5,617.30","14,869.00","4,436.60",553.9,"2,667","7,809","18,139","20,881","13,883","5,446","21,903","2,824","5,055","14,024"
12-Nov,"134,833","112,950",843,"5,684","11,950","5,620.60","14,944.70","4,428.10",551.5,"2,674","7,815","18,193","20,887","13,910","5,449","21,883","2,809","5,052","14,022"
12-Dec,"135,072","113,185",848,"5,724","11,960","5,626.60","14,913.80","4,463.70",551.5,"2,675","7,827","18,230","20,935","13,978","5,452","21,887","2,806","5,048","14,033"
13-Jan,"135,263","113,394",851,"5,746","11,983","5,640.30","14,936.30","4,465.00",551.8,"2,661","7,836","18,273","20,956","14,037","5,458","21,869","2,806","5,029","14,034"
13-Feb,"135,541","113,660",858,"5,784","11,996","5,643.40","14,951.40","4,463.30",552.2,"2,699","7,850","18,367","20,958","14,082","5,456","21,881","2,806","5,045","14,030"
13-Mar,"135,680","113,810",859,"5,802","11,999","5,645.60","14,949.10","4,456.90",550.6,"2,699","7,857","18,421","21,007","14,113","5,451","21,870","2,794","5,052","14,024"
13-Apr,"135,871","114,002",857,"5,796","12,000","5,645.40","14,968.20","4,471.40",552.3,"2,696","7,872","18,483","21,054","14,152","5,455","21,869","2,794","5,047","14,028"
13-May,"136,093","114,229",862,"5,829","12,000","5,650.10","15,002.00","4,467.50",553,"2,711","7,883","18,537","21,071","14,193","5,470","21,864","2,775","5,049","14,040"
13-Jun,"136,274","114,434",865,"5,855","12,004","5,655.80","15,048.50","4,471.80",554.7,"2,707","7,888","18,582","21,070","14,252","5,480","21,840","2,771","5,038","14,031"
13-Jul,"136,386","114,571",862,"5,859","11,984","5,662.90","15,089.70","4,463.90",551.4,"2,720","7,904","18,629","21,074","14,288","5,483","21,815","2,761","5,025","14,029"
13-Aug,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
13-Sep,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
13-Oct,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
13-Nov,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
13-Dec,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
14-Jan,"137,548","115,734",871,"5,985","12,081","5,702.50","15,262.90","4,561.90",549,"2,721","7,913","18,837","21,228","14,489","5,533","21,814","2,736","5,052","14,026"
14-Feb,"137,714","115,889",875,"6,007","12,106","5,708.70","15,243.70","4,556.80",549.2,"2,719","7,930","18,899","21,251","14,509","5,535","21,825","2,731","5,057","14,037"
14-Mar,"137,968","116,135",879,"6,038","12,120","5,713.80","15,248.10","4,572.60",551.2,"2,725","7,932","18,944","21,294","14,564","5,553","21,833","2,728","5,055","14,050"
14-Apr,"138,293","116,440",886,"6,084","12,134","5,728.40","15,303.00","4,586.50",550.1,"2,722","7,944","19,002","21,321","14,614","5,565","21,853","2,728","5,055","14,070"
14-May,"138,511","116,679",887,"6,109","12,146","5,735.20","15,322.90","4,614.80",549.9,"2,719","7,951","19,044","21,364","14,670","5,566","21,832","2,728","5,051","14,053"
14-Jun,"138,837","116,942",892,"6,133","12,170","5,746.40","15,351.80","4,634.00",550.8,"2,725","7,968","19,105","21,410","14,693","5,563","21,895","2,729","5,058","14,108"
14-Jul,"139,069","117,168",897,"6,178","12,189","5,749.30","15,374.90","4,661.50",551.3,"2,724","7,980","19,142","21,453","14,703","5,565","21,901","2,731","5,035","14,135"
14-Aug,"139,257","117,402",898,"6,210","12,208","5,747.40","15,386.20","4,676.20",553.2,"2,731","7,995","19,201","21,491","14,725","5,580","21,855","2,735","5,016","14,104"
14-Sep,"139,566","117,669",903,"6,242","12,226","5,754.70","15,418.90","4,690.10",551.4,"2,732","8,008","19,257","21,543","14,768","5,575","21,897","2,735","5,041","14,121"
14-Oct,"139,818","117,901",901,"6,259","12,259","5,757.20","15,469.70","4,710.00",552.2,"2,726","8,016","19,285","21,573","14,811","5,582","21,917","2,735","5,046","14,136"
14-Nov,"140,109","118,177",900,"6,272","12,284","5,760.20","15,502.90","4,732.60",552.4,"2,735","8,034","19,339","21,626","14,849","5,590","21,932","2,740","5,053","14,139"
14-Dec,"140,377","118,430",896,"6,293","12,292","5,767.80","15,510.50","4,760.50",554,"2,735","8,041","19,418","21,678","14,892","5,592","21,947","2,743","5,059","14,145"
15-Jan,"140,568","118,608",888,"6,320","12,292","5,768.80","15,520.20","4,769.80",554.5,"2,738","8,059","19,442","21,741","14,915","5,600","21,960","2,745","5,065","14,150"
15-Feb,"140,839","118,861",875,"6,361","12,301","5,781.10","15,535.10","4,786.00",554.3,"2,742","8,072","19,487","21,789","14,972","5,605","21,978","2,747","5,071","14,160"
15-Mar,"140,910","118,940",859,"6,334","12,312","5,782.90","15,547.70","4,799.00",554.6,"2,737","8,081","19,513","21,832","14,981","5,607","21,970","2,748","5,067","14,155"
15-Apr,"141,194","119,189",843,"6,392","12,318","5,779.30","15,566.90","4,805.90",554.9,"2,741","8,088","19,557","21,906","15,023","5,614","22,005","2,763","5,070","14,172"
15-May,"141,525","119,513",820,"6,427","12,333","5,786.80","15,595.90","4,828.10",556.3,"2,749","8,095","19,638","21,958","15,103","5,623","22,012","2,753","5,074","14,185"
15-Jun,"141,699","119,684",816,"6,441","12,334","5,784.50","15,618.70","4,855.20",555.3,"2,750","8,117","19,689","21,998","15,108","5,617","22,015","2,754","5,073","14,188"
15-Jul,"142,001","119,951",805,"6,472","12,349","5,785.00","15,639.00","4,878.60",556.8,"2,753","8,137","19,726","22,053","15,168","5,629","22,050","2,756","5,073","14,221"
15-Aug,"142,126","120,066",794,"6,490","12,345","5,785.40","15,637.70","4,889.40",557.9,"2,754","8,143","19,755","22,094","15,201","5,620","22,060","2,760","5,077","14,223"
15-Sep,"142,281","120,241",779,"6,508","12,354","5,775.80","15,642.90","4,898.40",556.9,"2,764","8,153","19,778","22,131","15,279","5,621","22,040","2,759","5,083","14,198"
15-Oct,"142,587","120,531",771,"6,547","12,362","5,777.30","15,675.40","4,898.80",556.6,"2,763","8,168","19,851","22,215","15,316","5,630","22,056","2,759","5,084","14,213"
15-Nov,"142,824","120,743",756,"6,598","12,357","5,778.20","15,695.00","4,914.70",556.7,"2,750","8,180","19,885","22,260","15,374","5,638","22,081","2,766","5,090","14,225"
15-Dec,"143,097","121,000",746,"6,630","12,362","5,776.50","15,699.00","4,946.00",556.1,"2,759","8,188","19,955","22,323","15,406","5,653","22,097","2,776","5,088","14,233"
16-Jan,"143,205","121,091",732,"6,631","12,383","5,778.00","15,723.60","4,914.50",556.1,"2,762","8,208","19,965","22,335","15,454","5,649","22,114","2,771","5,090","14,253"
16-Feb,"143,417","121,279",711,"6,640","12,365","5,776.90","15,772.10","4,930.30",557.2,"2,776","8,211","19,977","22,403","15,494","5,665","22,138","2,778","5,085","14,275"
16-Mar,"143,654","121,476",691,"6,678","12,342","5,779.90","15,811.20","4,948.90",555.5,"2,785","8,227","19,999","22,450","15,535","5,673","22,178","2,783","5,092","14,303"
16-Apr,"143,851","121,667",677,"6,702","12,353","5,785.10","15,811.80","4,964.80",555.6,"2,789","8,252","20,031","22,505","15,562","5,679","22,184","2,785","5,097","14,302"
16-May,"143,892","121,693",666,"6,689","12,332","5,783.50","15,817.80","4,979.90",554.6,"2,753","8,264","20,035","22,565","15,583","5,670","22,199","2,792","5,092","14,315"
16-Jun,"144,150","121,970",656,"6,701","12,350","5,779.80","15,846.80","4,984.10",556.1,"2,798","8,280","20,080","22,618","15,639","5,681","22,180","2,797","5,107","14,276"
16-Jul,"144,521","122,232",651,"6,735","12,372","5,781.30","15,865.90","5,009.20",556.8,"2,799","8,302","20,126","22,666","15,679","5,689","22,289","2,800","5,115","14,374"
16-Aug,"144,664","122,380",647,"6,736","12,348","5,784.20","15,877.30","5,035.80",556.3,"2,805","8,317","20,127","22,719","15,725","5,702","22,284","2,803","5,115","14,366"
16-Sep,"144,953","122,630",645,"6,768","12,347","5,796.10","15,883.30","5,030.80",556.4,"2,812","8,324","20,194","22,775","15,785","5,713","22,323","2,806","5,150","14,367"
16-Oct,"145,071","122,776",644,"6,799","12,345","5,797.50","15,890.70","5,047.40",556.6,"2,814","8,331","20,217","22,835","15,780","5,719","22,295","2,804","5,132","14,359"
16-Nov,"145,201","122,924",647,"6,823","12,342","5,800.30","15,857.20","5,064.80",556.9,"2,811","8,342","20,255","22,870","15,826","5,729","22,277","2,798","5,135","14,344"
16-Dec,"145,415","123,111",649,"6,818","12,355","5,796.90","15,882.70","5,096.90",557.5,"2,812","8,368","20,287","22,929","15,845","5,714","22,304","2,815","5,139","14,350"
17-Jan,"145,628","123,312",648,"6,840","12,366","5,802.10","15,917.80","5,081.90",556.3,"2,824","8,397","20,328","22,946","15,874","5,731","22,316","2,813","5,156","14,347"
17-Feb,"145,818","123,492",655,"6,881","12,380","5,805.00","15,882.20","5,098.90",555.7,"2,815","8,397","20,346","23,016","15,917","5,743","22,326","2,812","5,160","14,354"
17-Mar,"145,960","123,631",659,"6,902","12,393","5,807.10","15,864.70","5,112.90",555.6,"2,812","8,409","20,375","23,051","15,941","5,749","22,329","2,810","5,163","14,356"
17-Apr,"146,165","123,830",670,"6,916","12,400","5,807.40","15,848.30","5,131.50",555.1,"2,807","8,425","20,407","23,103","16,006","5,754","22,335","2,798","5,169","14,368"
17-May,"146,388","124,041",675,"6,931","12,409","5,807.30","15,835.40","5,161.60",554.7,"2,804","8,435","20,469","23,147","16,046","5,766","22,347","2,808","5,181","14,358"
17-Jun,"146,585","124,225",678,"6,962","12,422","5,813.30","15,834.70","5,176.80",555.3,"2,808","8,450","20,504","23,167","16,087","5,767","22,360","2,805","5,174","14,381"
17-Jul,"146,768","124,394",681,"6,968","12,423","5,814.70","15,821.50","5,186.30",555.3,"2,809","8,463","20,545","23,232","16,122","5,773","22,374","2,806","5,178","14,390"
17-Aug,"146,913","124,603",685,"7,002","12,467","5,817.00","15,827.10","5,198.80",555.5,"2,816","8,472","20,584","23,255","16,150","5,774","22,310","2,802","5,169","14,339"
17-Sep,"147,012","124,679",687,"7,013","12,477","5,816.40","15,821.40","5,229.80",555.9,"2,813","8,481","20,579","23,287","16,140","5,778","22,333","2,799","5,144","14,390"
17-Oct,"147,153","124,792",688,"7,031","12,490","5,821.20","15,816.80","5,247.30",555.2,"2,812","8,479","20,619","23,309","16,133","5,790","22,361","2,802","5,152","14,407"
17-Nov,"147,353","124,974",693,"7,068","12,505","5,821.20","15,823.60","5,257.70",555.1,"2,812","8,489","20,635","23,352","16,160","5,802","22,379","2,791","5,161","14,427"
17-Dec,"147,529","125,145",692,"7,091","12,533","5,824.00","15,810.10","5,281.90",555.2,"2,817","8,496","20,673","23,384","16,183","5,805","22,384","2,794","5,159","14,431"
18-Jan,"147,662","125,294",698,"7,102","12,556","5,821.70","15,781.40","5,287.60",553.2,"2,818","8,501","20,721","23,442","16,200","5,812","22,368","2,799","5,148","14,421"
18-Feb,"148,064","125,654",705,"7,186","12,582","5,824.60","15,820.10","5,316.50",555.9,"2,813","8,528","20,771","23,500","16,234","5,818","22,410","2,791","5,151","14,468"
18-Mar,"148,289","125,868",712,"7,195","12,608","5,837.30","15,836.10","5,345.10",555.4,"2,824","8,537","20,819","23,530","16,248","5,821","22,421","2,792","5,157","14,472"
18-Apr,"148,468","126,033",721,"7,223","12,632","5,814.10","15,834.80","5,371.70",556.9,"2,838","8,546","20,869","23,547","16,251","5,828","22,435","2,793","5,169","14,473"
18-May,"148,801","126,342",726,"7,271","12,661","5,820.20","15,843.60","5,405.20",555.5,"2,837","8,572","20,924","23,590","16,293","5,843","22,459","2,791","5,182","14,486"
18-Jun,"148,984","126,507",732,"7,291","12,693","5,824.80","15,798.00","5,429.60",554.5,"2,840","8,591","20,963","23,617","16,329","5,844","22,477","2,796","5,182","14,499"
18-Jul,"149,050","126,601",732,"7,316","12,714","5,837.70","15,781.60","5,442.20",551.4,"2,842","8,600","20,980","23,644","16,335","5,825","22,449","2,800","5,179","14,470"
18-Aug,"149,269","126,800",740,"7,345","12,724","5,855.70","15,783.90","5,474.10",551.6,"2,843","8,612","21,016","23,693","16,337","5,825","22,469","2,802","5,182","14,485"
18-Sep,"149,326","126,842",741,"7,366","12,743","5,852.80","15,738.70","5,497.20",551.6,"2,839","8,631","21,047","23,707","16,296","5,832","22,484","2,806","5,187","14,491"
18-Oct,"149,471","126,988",744,"7,380","12,762","5,856.80","15,705.50","5,521.60",552,"2,851","8,640","21,073","23,751","16,316","5,835","22,483","2,805","5,183","14,495"
18-Nov,"149,573","127,100",737,"7,379","12,774","5,864.20","15,724.20","5,541.10",551.9,"2,851","8,650","21,089","23,768","16,336","5,835","22,473","2,808","5,165","14,500"
18-Dec,"149,821","127,312",741,"7,396","12,793","5,869.10","15,704.10","5,524.50",551.1,"2,853","8,660","21,118","23,854","16,398","5,850","22,509","2,809","5,174","14,526"
19-Jan,"150,100","127,581",743,"7,434","12,822","5,877.70","15,683.50","5,584.40",550.8,"2,843","8,672","21,098","23,906","16,511","5,856","22,519","2,809","5,169","14,541"
19-Feb,"150,124","127,595",739,"7,402","12,821","5,886.40","15,661.80","5,571.80",549.6,"2,836","8,684","21,140","23,936","16,507","5,860","22,529","2,812","5,177","14,540"
19-Mar,"150,348","127,787",737,"7,427","12,819","5,882.70","15,648.60","5,577.10",550.1,"2,848","8,704","21,168","23,996","16,546","5,883","22,561","2,813","5,179","14,569"
19-Apr,"150,636","128,037",738,"7,470","12,824","5,888.50","15,645.30","5,619.60",547.5,"2,846","8,724","21,215","24,058","16,565","5,896","22,599","2,821","5,178","14,600"
19-May,"150,713","128,117",738,"7,484","12,821","5,889.50","15,619.90","5,648.00",549.5,"2,853","8,738","21,247","24,082","16,553","5,894","22,596","2,828","5,182","14,586"
19-Jun,"150,843","128,246",735,"7,510","12,829","5,883.40","15,585.30","5,686.10",551.6,"2,873","8,749","21,294","24,128","16,529","5,893","22,597","2,834","5,186","14,577"
19-Jul,"150,921","128,364",730,"7,522","12,832","5,889.90","15,589.50","5,701.70",550.9,"2,868","8,771","21,318","24,177","16,519","5,895","22,557","2,831","5,200","14,526"
19-Aug,"151,081","128,482",723,"7,527","12,827","5,886.80","15,588.40","5,703.00",549.9,"2,868","8,786","21,337","24,234","16,558","5,894","22,599","2,855","5,220","14,524"
19-Sep,"151,244","128,589",720,"7,540","12,820","5,888.50","15,582.10","5,718.70",548.6,"2,872","8,785","21,350","24,279","16,591","5,894","22,655","2,853","5,224","14,578"
19-Oct,"151,337","128,657",721,"7,543","12,764","5,895.50","15,591.70","5,720.80",546.7,"2,873","8,797","21,360","24,312","16,647","5,885","22,680","2,838","5,238","14,604"
19-Nov,"151,589","128,875",707,"7,536","12,812","5,892.10","15,560.40","5,734.10",548,"2,883","8,814","21,393","24,390","16,699","5,906","22,714","2,842","5,247","14,625"
19-Dec,"151,789","129,058",693,"7,529","12,795","5,896.20","15,608.60","5,747.20",548.7,"2,894","8,821","21,396","24,437","16,771","5,921","22,731","2,836","5,247","14,648"
20-Jan,"152,128","129,344",684,"7,577","12,784","5,897.70","15,594.10","5,802.90",547,"2,897","8,837","21,371","24,531","16,881","5,940","22,784","2,855","5,264","14,665"
20-Feb,"152,504","129,625",686,"7,624","12,785","5,892.80","15,597.50","5,794.80",547.1,"2,903","8,870","21,393","24,598","16,983","5,951","22,879","2,861","5,310","14,708"
20-Mar,"151,006","128,181",673,"7,549","12,717","5,875.40","15,511.00","5,786.90",547,"2,898","8,851","21,308","24,360","16,245","5,860","22,825","2,877","5,247","14,701"
20-Apr,"130,513","108,609",615,"6,516","11,423","5,488.20","13,352.50","5,289.20",543,"2,642","8,590","19,091","21,759","8,780","4,520","21,904","2,875","5,091","13,938"
20-May,"133,155","111,734",595,"7,007","11,656","5,502.70","13,689.10","5,318.40",542.4,"2,606","8,607","19,294","22,149","10,011","4,756","21,421","2,877","5,080","13,464"
20-Jun,"137,660","116,244",581,"7,166","11,990","5,545.30","14,496.80","5,448.80",539.4,"2,624","8,623","19,651","22,699","11,791","5,089","21,416","2,882","5,076","13,458"
20-Jul,"139,048","117,537",570,"7,198","12,025","5,528.10","14,744.50","5,510.10",539.7,"2,617","8,623","19,836","22,889","12,232","5,225","21,511","2,907","5,084","13,520"
20-Aug,"140,713","118,750",563,"7,222","12,050","5,540.30","15,044.50","5,598.70",541.5,"2,640","8,647","20,026","23,088","12,513","5,276","21,963","3,156","5,114","13,693"
20-Sep,"141,632","119,709",561,"7,243","12,095","5,565.70","15,054.70","5,666.40",543.3,"2,698","8,675","20,154","23,184","12,946","5,323","21,923","3,122","5,102","13,699"
20-Oct,"142,279","120,508",556,"7,295","12,122","5,574.60","15,113.60","5,745.50",541.9,"2,698","8,696","20,374","23,277","13,179","5,335","21,771","2,982","5,077","13,712"
20-Nov,"142,612","120,914",554,"7,313","12,157","5,584.30","15,111.50","5,827.20",541.8,"2,706","8,709","20,525","23,346","13,209","5,330","21,698","2,894","5,077","13,727"
20-Dec,"142,497","120,806",554,"7,357","12,190","5,598.20","15,170.10","5,848.10",541.2,"2,719","8,721","20,689","23,350","12,749","5,319","21,691","2,893","5,080","13,718"
21-Jan,"143,017","121,229",546,"7,360","12,184","5,611.70","15,243.50","5,881.10",542.2,"2,745","8,732","20,800","23,378","12,877","5,328","21,788","2,886","5,154","13,748"
21-Feb,"143,727","121,922",542,"7,308","12,222","5,622.40","15,292.60","5,945.70",542.1,"2,758","8,724","20,902","23,454","13,270","5,339","21,805","2,888","5,157","13,760"
21-Mar,"144,431","122,572",551,"7,408","12,268","5,635.50","15,328.60","5,995.80",542.7,"2,768","8,733","21,021","23,541","13,423","5,356","21,859","2,888","5,170","13,801"
21-Apr,"144,694","122,784",554,"7,393","12,240","5,647.10","15,338.80","5,997.80",543.2,"2,788","8,747","20,943","23,582","13,631","5,379","21,910","2,895","5,173","13,842"
21-May,"145,141","123,165",560,"7,381","12,268","5,655.60","15,313.60","6,026.60",542.3,"2,803","8,747","21,023","23,620","13,830","5,395","21,976","2,889","5,231","13,856"
21-Jun,"145,698","123,673",566,"7,378","12,288","5,675.60","15,381.90","6,061.50",541.5,"2,820","8,745","21,084","23,640","14,054","5,437","22,025","2,885","5,251","13,889"
21-Jul,"146,387","124,311",569,"7,395","12,350","5,693.80","15,398.10","6,101.40",541.6,"2,841","8,772","21,226","23,699","14,251","5,473","22,076","2,887","5,241","13,948"
21-Aug,"146,904","124,808",574,"7,397","12,391","5,699.20","15,434.70","6,133.30",539.8,"2,866","8,781","21,309","23,728","14,453","5,502","22,096","2,886","5,226","13,984"
21-Sep,"147,328","125,217",576,"7,427","12,413","5,703.90","15,493.60","6,169.70",539.7,"2,874","8,794","21,383","23,737","14,587","5,519","22,111","2,885","5,224","14,002"
21-Oct,"148,005","125,911",578,"7,455","12,466","5,716.30","15,537.00","6,220.20",539.5,"2,886","8,817","21,619","23,805","14,728","5,544","22,094","2,880","5,224","13,990"
21-Nov,"148,652","126,538",582,"7,502","12,514","5,731.20","15,556.90","6,257.40",538.7,"2,904","8,849","21,730","23,874","14,919","5,580","22,114","2,884","5,220","14,010"
21-Dec,"149,240","127,099",590,"7,546","12,555","5,749.70","15,595.10","6,279.70",538.1,"2,913","8,863","21,821","23,939","15,105","5,604","22,141","2,876","5,237","14,028"
22-Jan,"149,744","127,591",590,"7,552","12,581","5,762.30","15,716.50","6,333.10",538.7,"2,918","8,865","21,909","23,972","15,243","5,610","22,153","2,879","5,219","14,055"
22-Feb,"150,458","128,295",600,"7,606","12,631","5,788.80","15,827.80","6,406.90",538.8,"2,918","8,894","21,996","24,073","15,367","5,648","22,163","2,878","5,212","14,073"
22-Mar,"150,856","128,680",605,"7,628","12,689","5,814.70","15,804.90","6,410.60",538.3,"2,936","8,905","22,090","24,124","15,471","5,663","22,176","2,876","5,213","14,087"
22-Apr,"151,224","129,048",613,"7,623","12,750","5,842.90","15,805.30","6,459.60",539.2,"2,957","8,936","22,130","24,186","15,530","5,676","22,176","2,867","5,218","14,091"
22-May,"151,610","129,379",620,"7,658","12,769","5,856.00","15,761.60","6,497.70",539.8,"2,983","8,946","22,199","24,264","15,599","5,686","22,231","2,868","5,258","14,105"
22-Jun,"151,903","129,725",628,"7,668","12,794","5,866.00","15,783.90","6,513.60",540,"3,009","8,951","22,289","24,358","15,642","5,682","22,178","2,856","5,238","14,084"
22-Jul,"152,440","130,173",633,"7,689","12,831","5,881.80","15,800.20","6,531.20",541.1,"3,025","8,958","22,373","24,480","15,731","5,699","22,267","2,864","5,246","14,157"
22-Aug,"152,732","130,406",631,"7,698","12,867","5,896.90","15,829.50","6,529.50",542.6,"3,032","8,967","22,402","24,562","15,744","5,704","22,326","2,864","5,261","14,201"
22-Sep,"153,001","130,661",634,"7,721","12,884","5,903.40","15,799.60","6,511.40",542.5,"3,040","8,970","22,427","24,644","15,855","5,729","22,340","2,867","5,273","14,200"
22-Oct,"153,285","130,909",636,"7,730","12,920","5,912.60","15,797.00","6,508.00",543.6,"3,046","8,983","22,453","24,724","15,915","5,741","22,376","2,872","5,273","14,231"
22-Nov,"153,548","131,130",639,"7,750","12,934","5,909.30","15,767.10","6,492.90",543.1,"3,065","8,997","22,459","24,806","16,003","5,765","22,418","2,871","5,284","14,263"
